"year" "N" "mean" "sd" "se" "min" "max" "med"
1984 12 1.62583333333333 1.20969912362412 0.349210057331421 0.36 4.33 1.27
1985 12 -0.485833333333333 1.10606146741353 0.319292442975737 -1.83 1.53 -0.735
1986 12 -0.343333333333333 0.491941114978267 0.142011167579074 -1.16 0.39 -0.295
1987 12 -2.12 0.447071277619942 0.129058361240412 -2.59 -1.43 -2.265
1988 12 -1.88666666666667 0.3287257307553 0.0948949445705645 -2.58 -1.43 -1.875
1989 12 -2.18166666666667 0.486318887774329 0.140388170384254 -2.68 -1.22 -2.29
1990 12 -2.40916666666667 0.514471632460003 0.148515167745605 -3.38 -1.61 -2.43
1991 12 -1.8325 0.758480838135138 0.218954558036248 -3.51 -1.06 -1.65
1992 12 -1.3575 0.329962119037928 0.0952518591244636 -1.94 -0.8 -1.315
1993 12 0.916666666666667 0.649451983435172 0.187480638731016 -0.41 1.72 1.03
1994 12 -1.88833333333333 0.329015980085337 0.0949787323349791 -2.19 -1.32 -2.02
1995 12 1.46416666666667 1.21762405254386 0.35149778725398 -0.23 3.01 1.68
1996 12 -0.149166666666667 0.342224230939927 0.0987916259281897 -0.49 0.76 -0.16
1997 12 -1.04916666666667 1.03793026857503 0.299624659980928 -2.18 1.25 -1.235
1998 12 2.8375 1.29147642782838 0.372817131629387 -0.34 4.24 3.26
1999 12 0.471666666666667 1.01124435796456 0.291921101143664 -1.75 1.97 0.615
2000 12 -1.4 0.314324672910034 0.0907377172587747 -1.88 -0.71 -1.425
2001 12 -1.85833333333333 0.270851631083525 0.0781881310582613 -2.33 -1.39 -1.905
2002 12 -2.86166666666667 0.462086834290096 0.133392979083184 -3.39 -1.89 -3.045
2003 12 -1.70583333333333 0.569089517376554 0.164281993025174 -2.64 -0.97 -1.51
2004 12 -2.06 0.865279776089266 0.249784755824739 -3.03 -0.36 -2.185
2005 12 1.55333333333333 0.739979524696256 0.213613688889097 0.43 2.56 1.53
2006 12 0.135 0.927611791841628 0.267778458861618 -1.53 1.31 0.37
2007 12 -3.17 0.502936829577487 0.14518535697097 -3.84 -2.29 -3.17
2008 12 -2.92833333333333 0.364013819251496 0.105081738266797 -3.28 -2.18 -3.045
2009 12 -2.73583333333333 0.293550625441285 0.0847407663096545 -3.15 -2.22 -2.78
2010 12 -0.1775 0.983510641436168 0.283915066792016 -1.69 1.71 0.01
2011 12 1.46 0.483566297043501 0.139593565884548 0.35 2.17 1.54
2012 12 -1.6 0.438115800383249 0.126473137643748 -2.04 -0.52 -1.725
2013 12 -2.9125 0.568268902417285 0.164045101891356 -3.52 -1.58 -2.99
2014 6 -4.24833333333333 0.291713329600597 0.119091468114965 -4.69 -3.9 -4.16
